university,program,faculty,url,degree,language,city,latitude,longitude
UVT,Drept,Drept,https://admitere.uvt.ro/program/drept/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Limba și literatura sârbă – Limba și literatura modernă (engleză/franceză/germană/italiană/spaniolă)/Limba și literatura latină/Limba și literatura română,Limba Si Literatura Sarba Limba Si Literatura Moderna Engleza Franceza Germana Italiana Spaniola Limba Si Literatura Latina Limba Si Literatura Romana,https://admitere.uvt.ro/program/limba-si-literatura-sarba-limba-si-literatura-moderna-engleza-franceza-germana-italiana-spaniola-limba-si-literatura-latina-limba-si-literatura-romana/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Fizică,Fizica,https://admitere.uvt.ro/program/fizica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Interpretare muzicală - instrumente,Interpretare Muzicala Instrumente,https://admitere.uvt.ro/program/interpretare-muzicala-instrumente/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Management (învățământ la distanță),Management Invatamant La Distanta,https://admitere.uvt.ro/program/management-invatamant-la-distanta/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Economie și afaceri internaționale,Economie Si Afaceri Internationale,https://admitere.uvt.ro/program/economie-si-afaceri-internationale/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Științe aplicate în criminalistică,Stiinte Aplicate In Criminalistica,https://admitere.uvt.ro/program/stiinte-aplicate-in-criminalistica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Limba și literatura franceză – Limba și literatura modernă (engleză/germană/italiană/spaniolă)/Limba și literatura latină/Limba și literatura română,Limba Si Literatura Franceza Limba Si Literatura Moderna Engleza Germana Italiana Spaniola Limba Si Literatura Latina Limba Si Literatura Romana,https://admitere.uvt.ro/program/limba-si-literatura-franceza-limba-si-literatura-moderna-engleza-germana-italiana-spaniola-limba-si-literatura-latina-limba-si-literatura-romana/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Arte plastice (Sculptură),Arte Plastice Sculptura,https://admitere.uvt.ro/program/arte-plastice-sculptura/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Informatică economică,Informatica Economica,https://admitere.uvt.ro/program/informatica-economica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Studii de securitate,Studii De Securitate,https://admitere.uvt.ro/program/studii-de-securitate/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Geografie,Geografie,https://admitere.uvt.ro/program/geografie/,Licenta,Română,Timisoara,45.7477,21.2312
